"","DATETIME","preclose","open","high","low","last","volume","amount"
"364",2017-03-23 09:45:33,9.16,9.16,9.22,9.15,9.22,7414594,68130855
"365",2017-03-23 09:45:36,9.16,9.16,9.22,9.15,9.22,7414594,68130855
"366",2017-03-23 09:45:39,9.16,9.16,9.22,9.15,9.21,7418194,68163988
"367",2017-03-23 09:45:42,9.16,9.16,9.22,9.15,9.21,7418894,68170435
"368",2017-03-23 09:45:45,9.16,9.16,9.22,9.15,9.21,7419294,68174119
"369",2017-03-23 09:45:48,9.16,9.16,9.22,9.15,9.22,7424894,68225746
"370",2017-03-23 09:45:51,9.16,9.16,9.22,9.15,9.21,7424994,68226667
"371",2017-03-23 09:45:54,9.16,9.16,9.22,9.15,9.21,7424994,68226667
"372",2017-03-23 09:45:57,9.16,9.16,9.22,9.15,9.22,7427294,68247860
"373",2017-03-23 09:46:00,9.16,9.16,9.22,9.15,9.22,7427294,68247860
"374",2017-03-23 09:46:03,9.16,9.16,9.22,9.15,9.22,7478994,68724529
"375",2017-03-23 09:46:06,9.16,9.16,9.22,9.15,9.22,7501294,68930135
"376",2017-03-23 09:46:09,9.16,9.16,9.22,9.15,9.22,7504094,68955951
"377",2017-03-23 09:46:12,9.16,9.16,9.22,9.15,9.22,7505094,68965171
"378",2017-03-23 09:46:15,9.16,9.16,9.22,9.15,9.22,7515694,69062903
"379",2017-03-23 09:46:18,9.16,9.16,9.22,9.15,9.22,7520394,69106237
"380",2017-03-23 09:46:21,9.16,9.16,9.22,9.15,9.22,7525694,69155103
"381",2017-03-23 09:46:24,9.16,9.16,9.22,9.15,9.22,7526694,69164323
"382",2017-03-23 09:46:27,9.16,9.16,9.22,9.15,9.22,7528194,69178153
"383",2017-03-23 09:46:30,9.16,9.16,9.22,9.15,9.22,7529394,69189217
"384",2017-03-23 09:46:33,9.16,9.16,9.22,9.15,9.22,7530894,69203035
"385",2017-03-23 09:46:36,9.16,9.16,9.22,9.15,9.22,7533394,69226079
"386",2017-03-23 09:46:39,9.16,9.16,9.22,9.15,9.21,7601394,69852462
